,AF: Arms Imports: SIPRI Trend Indicator Values (TIV),AF: (DC)Arms Exports: SIPRI Trend Indicator Values (TIV),AF: Armed Forces Personnel: Total,AF: Armed Forces Personnel: % of Total Labour Force,"AF: Presence of Peace Keepers: Number of Troops, Police and Military Observers in Mandate",AF: Military Expenditure,AF: Military Expenditure,AF: Military Expenditure as % of GDP,AF: Military Expenditure as % of General Government Expenditure,AF: (DC)Military Expenditure as % of Central Government Expenditure,AF: International Development Association: Resource Allocation Index: 1=Low To 6=High,AF: International Development Association: Grants,AF: Debt Forgiveness Grants,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Australia,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Austria,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Belgium,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Canada,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Czech Republic,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Denmark,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: European Commission,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Finland,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: France,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Germany,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Greece,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Iceland,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Ireland,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Italy,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Japan,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Korea,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Luxembourg,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Netherlands,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: New Zealand,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Norway,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Poland,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Portugal,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Slovak Republic,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Slovenia,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Spain,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Sweden,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Switzerland,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: United Kingdom,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: United States,AF: Net Official Flows from UN Agencies: IAEA,AF: Net Official Flows from UN Agencies: IFAD,AF: (DC)Net Official Flows from UN Agencies: UNAIDS,AF: Net Official Flows from UN Agencies: UNICEF,AF: Net Official Flows from UN Agencies: UNHCR,AF: Net Official Flows from UN Agencies: UNDP,AF: Net Official Flows from UN Agencies: UNFPA,AF: (DC)Net Official Flows from UN Agencies: UNPBF,AF: (DC)Net Official Flows from UN Agencies: UNRWA,AF: (DC)Net Official Flows from UN Agencies: UNTA,AF: Net Official Flows from UN Agencies: WFP,AF: Net Official Flows from UN Agencies: WHO,AF: Net Official Flows from UN Agencies: FAO,AF: Net Official Flows from UN Agencies: ILO,AF: Net Official Development Assistance Received: Current Price,AF: Net Official Development Assistance and Official Aid Received: Current Price,AF: Net Official Development Assistance Received: 2016 Price,AF: Net Official Development Assistance and Official Aid Received: 2016 Price,AF: (DC)Net Official Development Assistance Received: 2014 Price,AF: (DC)Net Official Development Assistance Received: 2013 Price,AF: (DC)Net Official Development Assistance and Official Aid Received: 2013 Price,AF: (DC)Net Official Development Assistance Received: 2012 Price,AF: (DC)Net Official Development Assistance and Official Aid Received: 2012 Price,AF: (DC)Net Official Development Assistance Received: 2011 Price,AF: (DC)Net Official Development Assistance and Official Aid Received: 2011 Price,AF: (DC)Net Official Development Assistance Received: 2010 Price,AF: (DC)Net Official Development Assistance and Official Aid Received: 2010 Price,AF: (DC)Net Official Development Assistance Received: 2009 Price,AF: (DC)Net Official Development Assistance and Official Aid Received: 2009 Price,AF: (DC)Net Official Development Assistance Received: 2008 Price,AF: (DC)Net Official Development Assistance and Official Aid Received: 2008 Price,AF: (DC)Net Official Development Assistance Received: 2007 Price,AF: (DC)Net Official Development Assistance and Official Aid Received: 2007 Price,AF: Net Official Development Assistance Received: % of Gross National Income,AF: Net Official Development Assistance Received: % of Central Government Expenditure,AF: Net Official Development Assistance Received: % of Gross Capital Formation,"AF: Net Official Development Assistance Received: % of Imports of Goods, Services and Primary Income",AF: Net Official Development Assistance Received per Capita: Current Price,AF: IMF Account: Fund Position: Use of Fund Credit (UFC),AF: IMF Account: Fund Position: UFC: General Resources Account,"AF: IMF Account: Fund Position: UFC: Outstanding Loans: Structural Adj. Facility, Poverty Reduction and Growth Facility & Trust Fund",AF: IMF Account: Fund Position: Fund Holdings of Currency,AF: IMF Account: Fund Position: Net Cumulative Allocation: Escrow Account,AF: IMF Account: Fund Position: Overdue Obligations,AF: IMF Account: Fund Position: USD: Allocations of SDRs to Date,AF: IMF Account: Fund Position: USD: Quota,AF: IMF Account: Fund Position: USD: Reserve Tranche Position,AF: IMF Account: Fund Position: USD: Lending to the Fund,AF: IMF Account: Fund Position: USD: Use of Fund Credit (UFC),AF: IMF Account: Fund Position: USD: UFC: General Resources Account,"AF: IMF Account: Fund Position: USD: UFC: Outstanding Loans: Structural Adj. Facility, Poverty Reduction and Growth Facility & Trust Fund",AF: IMF Account: Fund Position: USD: Fund Holdings of Currency,AF: IMF Account: Fund Position: USD: Net Cumulative Allocation: Escrow Account,AF: IMF Account: Fund Position: USD: Overdue Obligations,AF: IMF Account: Fund Position: SDR Holdings: % of Allocation,AF: IMF Account: Fund Position: Currency Holdings: % of Quota,AF: IMF Account: Fund Position: UFC: % of Quota
Region,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan
Subnational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,"Annual, ending ""Mar"" of each year","Annual, ending ""Mar"" of each year","Annual, ending ""Mar"" of each year","Annual, ending ""Mar"" of each year","Annual, ending ""Mar"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Mar"" of each year","Annual, ending ""Mar"" of each year","Annual, ending ""Mar"" of each year","Annual, ending ""Mar"" of each year","Annual, ending ""Mar"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec"""
Unit,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%
Source,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund
Status,Active,Discontinued,Active,Active,Active,Active,Active,Active,Active,Discontinued,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Discontinued,Active,Active,Active,Active,Discontinued,Discontinued,Discontinued,Active,Active,Active,Active,Active,Active,Active,Active,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
Series ID,266502802,339281702,266522502,266541602,275948302,409029887,266560202,266576202,412760587,266593802,265281602,259391502,259779902,258673002,258261602,258280302,258299002,258317702,141494704,258392502,258336402,258429902,258448602,258373802,258486002,141519204,258504702,258523402,258542102,298476902,258560802,258579502,258616902,258598202,367137217,258635602,367139687,367142157,258411202,258654302,258355102,258467302,258692202,298529602,260791702,261076502,261092202,261110902,261129602,261148302,327302602,261167002,261185702,261204402,341369702,386832537,386835167,261506302,261459402,412780397,412755187,386829907,376148747,376143807,367149567,367144627,140857704,140808704,343716002,343740502,310098702,310126602,298579302,298555202,261557002,261478602,261540002,261607902,261523902,261574702,261590302,224237001,224232801,224231901,224235501,408714527,408626567,408705207,408669437,408779097,408814947,314851101,408671487,408450447,408493907,408483637,408530097,224227701,224235201,224237301
SR Code,SR6790221,SR5386370,SR7029422,SR5307724,SR5386127,SR118195797,SR5386428,SR5607396,SR125324467,SR5388891,SR7029237,SR5387907,SR5476468,SR5386422,SR5386295,SR5476118,SR5388165,SR5388550,SR5386690,SR7029368,SR5386981,SR5309929,SR5386040,SR5476092,SR7029328,SR5388245,SR5386970,SR5386455,SR5386612,SR7029479,SR5386491,SR5310385,SR5386620,SR5388313,SR7115687,SR5388535,SR7029362,SR5388849,SR5386944,SR7116638,SR5385925,SR5388852,SR7029433,SR5388681,SR7116536,SR5387959,SR5310197,SR5386766,SR7029365,SR5386275,SR5260779,SR7116246,SR5606517,SR5291886,SR5295714,SR105958157,SR105958167,SR7116548,SR5295521,SR125324477,SR125324487,SR105898457,SR5266737,SR5607562,SR7116580,SR5294389,SR5608513,SR5449276,SR5297016,SR7115850,SR5610959,SR5292828,SR5294724,SR5291977,SR7029499,SR5294635,SR5305984,SR5267444,SR5292815,SR5441983,SR7115553,SR104324757,SR104324767,SR104324777,SR104324787,SR118703637,SR118703647,SR118703657,SR118703667,SR118703677,SR118703687,SR104324807,SR118703697,SR118703707,SR118703717,SR118703727,SR118703737,SR104324827,SR104324837,SR104324847
Mnemonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Function Information,%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year),%CHANGE(Over Year)
